center,color,diameter,mass
peanut butter,yellow,16.08,1.75
peanut butter,yellow,15.22,1.68
peanut butter,orange,15.87,1.79
peanut butter,yellow,16.19,1.87
peanut butter,brown,16.36,2.04
peanut butter,blue,15.62,1.74
peanut butter,yellow,15.48,1.69
peanut butter,yellow,16.06,1.81
peanut butter,blue,15.88,1.73
peanut butter,red,15.67,1.53
peanut butter,orange,15.66,1.69
peanut butter,green,15.1,1.77
peanut butter,yellow,15.4,1.65
peanut butter,brown,15.63,1.79
peanut butter,yellow,15.44,1.67
peanut butter,blue,16.19,2.09
peanut butter,brown,15.2,1.48
peanut butter,brown,16.94,2.46
peanut butter,orange,15.99,1.91
peanut butter,brown,15.85,1.82
peanut butter,yellow,16,1.88
peanut butter,brown,15.12,1.62
peanut butter,green,16.3,1.93
peanut butter,yellow,15.67,1.76
peanut butter,red,15.29,1.47
peanut butter,orange,16.07,1.91
peanut butter,blue,16.42,2.04
peanut butter,yellow,14.89,1.4
peanut butter,blue,15.41,1.67
peanut butter,green,15.24,1.72
peanut butter,red,15.89,1.82
peanut butter,green,16.78,2.1
peanut butter,yellow,16.48,2.25
peanut butter,blue,17.43,2.54
peanut butter,yellow,16.85,2.21
peanut butter,brown,15.32,1.73
peanut butter,blue,15.42,1.7
peanut butter,orange,15.78,1.93
peanut butter,yellow,15.61,1.82
peanut butter,brown,15.85,1.7
peanut butter,blue,15.39,1.65
peanut butter,orange,15.87,1.68
peanut butter,brown,16.42,2.06
peanut butter,orange,15.69,1.81
peanut butter,yellow,16.45,2.01
peanut butter,yellow,15.48,1.57
peanut butter,green,15.53,1.72
peanut butter,blue,15.77,1.71
peanut butter,yellow,16.28,1.95
peanut butter,red,15.1,1.49
peanut butter,brown,15.89,1.79
peanut butter,yellow,14.84,1.5
peanut butter,blue,15.35,1.55
peanut butter,orange,16.19,1.96
peanut butter,brown,15.77,1.67
peanut butter,yellow,15.39,1.46
peanut butter,yellow,16.1,1.98
peanut butter,brown,16.29,2
peanut butter,green,17.61,2.63
peanut butter,yellow,15.89,1.79
peanut butter,blue,16.11,1.79
peanut butter,brown,15.73,1.62
peanut butter,yellow,15.41,1.49
peanut butter,orange,15.26,1.45
peanut butter,brown,16.22,1.93
peanut butter,red,17.33,2.41
peanut butter,yellow,15.47,1.54
peanut butter,yellow,16.04,1.92
peanut butter,red,15.44,1.39
peanut butter,red,15.89,1.68
peanut butter,brown,14.65,1.31
peanut butter,yellow,15.53,1.58
peanut butter,green,15.84,1.68
peanut butter,blue,16.04,1.82
peanut butter,green,15.29,1.6
peanut butter,yellow,15.68,1.78
peanut butter,red,16.28,1.93
peanut butter,orange,15.49,1.49
peanut butter,orange,15.3,1.63
peanut butter,brown,15.62,1.81
peanut butter,yellow,14.68,1.33
peanut butter,green,16.7,2.04
peanut butter,yellow,15.59,1.69
peanut butter,red,15.54,1.84
peanut butter,brown,13.91,1.82
peanut butter,blue,14.58,1.39
peanut butter,blue,15.06,1.51
peanut butter,yellow,15.72,1.68
peanut butter,yellow,14.05,1.19
peanut butter,brown,14.74,1.39
peanut butter,green,16.15,1.97
peanut butter,brown,16.3,1.97
peanut butter,green,15.76,1.75
peanut butter,orange,15.26,1.54
peanut butter,red,15.48,1.62
peanut butter,orange,15.02,1.48
peanut butter,red,15.71,1.73
peanut butter,yellow,16.88,2.14
peanut butter,yellow,15.95,1.89
peanut butter,green,16.26,2.06
peanut butter,red,15.85,1.82
peanut butter,green,15.31,1.59
peanut butter,green,15.71,1.82
peanut butter,red,14.98,1.43
peanut butter,brown,15.13,1.46
peanut butter,brown,16.22,2
peanut butter,green,16.21,1.84
peanut butter,green,15.28,1.71
peanut butter,brown,16.13,1.89
peanut butter,green,15.64,1.65
peanut butter,green,15.3,1.58
peanut butter,brown,15.53,1.77
peanut butter,brown,16.09,1.69
peanut butter,brown,14.96,1.51
peanut butter,brown,15.78,1.74
peanut butter,brown,15.28,1.64
