center,color,diameter,mass
plain,brown,13.12,0.88
plain,green,13.23,0.84
plain,red,13.28,0.85
plain,blue,13.1,0.84
plain,brown,13.33,0.84
plain,blue,13.22,0.84
plain,green,13.25,0.8
plain,brown,13.86,0.87
plain,red,13.36,0.87
plain,blue,13.84,0.93
plain,brown,13.7,0.95
plain,yellow,13.07,0.84
plain,yellow,13.84,0.9
plain,blue,13.33,0.82
plain,orange,13.48,0.83
plain,orange,13.35,0.92
plain,brown,13.4,0.91
plain,orange,12.76,0.83
plain,yellow,13.93,0.93
plain,blue,13.28,0.83
plain,green,13.19,0.88
plain,orange,13.32,0.95
plain,blue,12.49,0.76
plain,blue,13.38,0.85
plain,green,13.4,0.9
plain,brown,12.85,0.81
plain,yellow,13.31,0.9
plain,green,13.05,0.83
plain,green,13.11,0.87
plain,red,13.04,0.84
plain,blue,13.5,0.9
plain,brown,13.36,0.85
plain,blue,13.42,0.92
plain,brown,13.1,0.83
plain,green,13.27,0.87
plain,brown,13.31,0.89
plain,blue,13.19,0.86
plain,green,13.2,0.83
plain,brown,13.41,0.88
plain,orange,13.74,0.89
plain,orange,13.6,0.98
plain,yellow,13.67,0.88
plain,brown,13.38,0.91
plain,orange,12.84,0.9
plain,brown,13.84,0.82
plain,green,13.23,0.87
plain,blue,13.27,0.95
plain,yellow,13.22,0.82
plain,red,12.61,0.76
plain,brown,13.13,0.84
plain,green,13.53,0.94
plain,blue,13.17,0.86
plain,green,13.26,0.91
plain,red,13.8,0.88
plain,brown,13.42,0.85
plain,orange,13.38,0.88
plain,green,13.23,0.95
plain,blue,13.12,0.86
plain,brown,13.26,0.92
plain,blue,12.49,0.84
plain,blue,13.13,0.85
plain,orange,13,0.84
plain,green,13.9,0.93
plain,green,13.33,0.87
plain,green,12.95,0.87
plain,green,12.88,0.86
plain,green,12.39,0.84
plain,green,13.1,0.82
plain,orange,13.98,0.93
plain,blue,13.15,0.86
plain,orange,12.9,0.79
plain,blue,13.06,0.86
plain,orange,13.57,0.9
plain,green,12.98,0.89
plain,blue,13.2,0.87
plain,brown,13.44,0.87
plain,brown,13.17,0.89
plain,blue,13.48,0.95
plain,green,13.44,0.9
plain,brown,13.24,0.84
plain,green,13.25,0.9
plain,blue,13.06,0.83
plain,brown,13.16,0.87
plain,green,13.05,0.83
plain,orange,13.49,0.87
plain,orange,13.35,0.9
plain,orange,13.77,0.92
plain,red,13.41,0.89
plain,yellow,12.95,0.82
plain,orange,13.8,0.86
plain,green,13.41,0.86
plain,brown,13.59,0.91
plain,green,12.99,0.9
plain,green,13.49,0.9
plain,yellow,13.64,0.99
plain,yellow,13.97,0.92
plain,brown,13.15,0.86
plain,green,13.48,0.9
plain,green,13.39,0.91
plain,brown,13.36,0.83
plain,brown,12.94,0.81
plain,red,13.47,0.93
plain,orange,13.29,0.92
plain,orange,13.14,0.82
plain,green,13.31,0.88
plain,blue,13.13,0.78
plain,blue,13.11,0.88
plain,green,12.98,0.82
plain,green,13.4,0.94
plain,green,13.38,0.9
plain,brown,13.79,0.89
plain,yellow,13.15,0.9
plain,orange,13.53,0.89
plain,blue,13.5,0.91
plain,blue,13.48,0.88
plain,brown,12.91,0.82
plain,blue,12.81,0.87
plain,brown,13.67,0.9
plain,yellow,14,0.87
plain,yellow,13.91,0.93
plain,green,12.82,0.79
plain,orange,12.93,0.84
plain,blue,12.63,0.82
plain,blue,13.18,0.83
plain,orange,13.31,0.86
plain,orange,13.13,0.8
plain,green,13.53,0.91
plain,red,13.25,0.87
plain,red,13,0.78
plain,blue,13.03,0.82
plain,blue,13.16,0.84
plain,orange,13.25,0.86
plain,orange,13.14,0.85
plain,green,13.19,0.92
plain,brown,13.51,1.01
plain,blue,13.28,0.88
plain,brown,13.03,0.84
plain,green,13.61,0.87
plain,orange,13.2,0.85
plain,blue,12.97,0.82
plain,green,12.84,0.82
plain,blue,13.18,0.88
plain,blue,13.64,0.89
plain,green,13.3,0.84
plain,orange,12.65,0.81
plain,green,13.33,0.88
plain,yellow,12.98,0.88
plain,blue,13.22,0.84
plain,yellow,13.23,0.84
plain,green,13.77,0.89
plain,brown,12.86,0.8
plain,brown,13.86,0.85
plain,yellow,13.48,0.95
plain,yellow,13.99,0.87
plain,brown,12.38,0.82
plain,brown,13.02,0.84
plain,yellow,13.14,0.84
plain,orange,12.56,0.73
plain,blue,13.28,0.89
plain,green,13.19,0.84
plain,yellow,13.45,0.86
plain,yellow,13.63,0.88
plain,orange,13.18,0.81
plain,green,13.64,0.93
plain,blue,13.32,0.87
plain,yellow,13.8,0.95
plain,green,13.31,0.87
plain,brown,13.69,1.01
plain,yellow,13.02,0.82
plain,yellow,13.6,0.93
plain,green,12.66,0.81
plain,brown,13.14,0.83
plain,blue,12.94,0.78
plain,red,13.39,0.88
plain,green,13.28,0.86
plain,orange,13.2,0.86
plain,green,12.94,0.87
plain,red,12.92,0.8
plain,green,13.29,0.81
plain,brown,13.32,0.86
plain,brown,13.36,0.84
plain,yellow,13.92,0.77
plain,red,12.97,0.83
plain,orange,13.63,0.92
plain,orange,13.1,0.82
plain,blue,13.13,0.8
plain,blue,13.65,0.8
plain,orange,12.87,0.83
plain,green,12.95,0.87
plain,blue,13.57,0.97
plain,yellow,12.78,0.84
plain,yellow,13.48,0.85
plain,blue,13.1,0.83
plain,orange,13.72,0.93
plain,green,13.22,0.79
plain,brown,12.95,0.83
plain,brown,13.1,0.87
plain,brown,13.46,0.8
plain,red,13.79,0.88
plain,blue,13.48,0.78
plain,blue,13.42,0.88
plain,brown,13.31,0.84
plain,green,11.23,0.73
plain,red,13.55,0.89
plain,brown,13.22,0.83
plain,blue,13.16,0.83
plain,blue,13.13,0.82
plain,brown,12.98,0.84
plain,orange,13.09,0.83
plain,blue,12.87,0.79
plain,yellow,12.85,0.82
plain,yellow,13.03,0.89
plain,brown,13.47,0.88
plain,green,13.43,0.85
plain,brown,12.95,0.83
plain,yellow,13.3,0.89
plain,yellow,13.12,0.86
plain,yellow,13.41,0.84
plain,orange,13,0.86
plain,blue,13.22,0.87
plain,green,12.15,0.85
plain,brown,13.25,0.88
plain,blue,13.6,0.87
plain,red,13.42,0.85
plain,blue,12.85,0.78
plain,red,12.71,0.83
plain,blue,13.08,0.8
plain,blue,13.18,0.89
plain,brown,13.06,0.85
plain,orange,13.37,0.86
plain,yellow,13.12,0.86
plain,brown,13.24,0.86
plain,brown,12.98,0.82
plain,red,13.29,0.83
plain,yellow,13.16,0.82
plain,yellow,13.51,0.87
plain,yellow,13.12,0.81
plain,orange,13.21,0.83
plain,red,13.03,0.83
plain,red,12.8,0.78
plain,red,13.18,0.87
plain,orange,13.22,0.92
plain,red,12.94,0.78
plain,orange,13.21,0.9
plain,orange,13.32,0.84
plain,red,13.22,0.86
plain,red,13.01,0.82
plain,red,13.24,0.84
plain,red,13.38,0.86
