permanent_id,lake_name,date,year,Cladoceran_Bosmina_longirostris,Cladoceran_Daphnia_catawba,Cladoceran_Daphnia_pulex,Cladoceran_Diaphanosoma_birgei,Cladoceran_Diaphanosoma_brachyurum,Cladoceran_Holopedium_giberum,Copepod_Aglaodiaptomus_leptpus,Copepod_Cyclops_scutifer,Copepod_Epischura_lacustris,Copepod_Leptodiaptomus_minutus,Copepod_Mesocyclops_edax,Copepod_Tropocyclops_extensus
131845836,Indian,1994-08-31,1994,27.82879,0,0.45914,0,0,0,0.96929,0,0,16.86052,1.09683,0
131845836,Indian,1995-06-20,1995,1.975,0,1.05,0,0,0,0.35,0,0,18.75,1.025,0
131845836,Indian,1995-08-08,1995,30.5775,0,0.3375,0,0,0,4.455,0,0,34.2225,3.51,0
131845836,Indian,1995-09-14,1995,33.10232,0,0.55948,0,0,0,0.186,0,0,28.813,4.75554,0
131845836,Indian,1996-06-26,1996,22.68,0,1.35,0,0.135,0,1.485,0,0,14.445,1.08,0
131845836,Indian,1996-07-23,1996,19.52976,0,0.47897,0,0.11131,0,0.272,0,0,14.781,0.853,0
131845836,Indian,1996-08-20,1996,8.54722,0,0.85,0,1.322,0,0.142,0,0,22.47778,4.675,0
131845836,Indian,1997-07-14,1997,12.79167,0,3.33333,0,0.08333,0.125,1,0,0,14.33367,1.25,0
131845836,Indian,1997-08-18,1997,11.20583,0,3.11667,0,0.98458,0,1.955,0,0,14.08875,1.38833,0
131845836,Indian,1998-07-14,1998,4.11956,0,0.368,0,0.03067,0,0.092,0,0,3.036,0.29644,0
131845836,Indian,1998-08-10,1998,5.55926,0,0.09383,0,0.02346,0,0.07037,0,0,8.32716,1.66543,0
131845836,Indian,1999-06-29,1999,56.20397,0,1.51086,0,0,0,1.48253,0,0,27.43154,1.88857,0
131845836,Indian,1999-08-16,1999,23.07692,0.32389,0.32389,0,0,0,0.40486,0,0,21.78138,5.10121,0
131845836,Indian,2000-07-11,2000,2.78729,0,2.44499,0,0,0,0,0,0,27.50611,0.7824,0
131845836,Indian,2000-08-14,2000,7.25212,0,0.3966,0,0,0,1.5864,0,0,4.47592,2.09632,2.7762
131845836,Indian,2001-07-09,2001,26.55556,0,1.10417,0,0,0,0,0,0,15.10417,1.36458,0
131845836,Indian,2001-09-05,2001,2.83776,0,1.07313,0,0,0,1.16875,0,0,13.50083,2.3924,0
131845836,Indian,2002-08-22,2002,7.76667,0.1,0,0,0,0.16667,0.16667,0,0,9.56667,1.53333,0.3
131845836,Indian,2002-09-19,2002,10.5,0,0.325,0,0,0,0.25,0,0,11.325,3.475,0.075
131845836,Indian,2003-07-09,2003,17.8,0.44,0,0,0,0,1.96,0,0,15.16,1.68,0
131845836,Indian,2003-08-06,2003,8.29082,0,0.17007,0,0,0,0.17007,0,0,29.76192,3.78401,0
131845836,Indian,2004-07-13,2004,12.255,1.264,0.06,0,0,0,0.0975,0,0,15.14625,0.56625,0
131845836,Indian,2004-08-03,2004,7.95,1.65,0,0,0,0,0.4,0,0,16.35,2.5,0
131845836,Indian,2005-07-11,2005,7.45,0,1.05,0,0.05,0,0.425,0,0,15.575,0.8,0
131845836,Indian,2005-08-08,2005,6.975,0,0.125,0,0,0,0.075,0,0,7.25,2.175,0
131845836,Indian,2006-07-11,2006,20.58,0,0.64,0,0,0,0.04,0,0,11.74,2.88,0
131845836,Indian,2006-08-08,2006,9.45,0,1.325,0,0,0,0.275,0,0,6.025,3.075,0
131846593,South,1994-06-30,1994,3.619,0.269,0,0,0,0,0,0,0,21.789,1.663,0
131846593,South,1994-07-27,1994,3.09643,3.01635,0,0,0,0,0,0,0,25.19853,1.36136,0
131846593,South,1994-08-31,1994,5.31912,0.11832,0,0,0,0,0,0,0,23.56975,1.14491,0
131846593,South,1995-06-19,1995,1.12964,0.10508,0,0,0,0.02627,0,0,0,22.35643,0.52542,0
131846593,South,1995-08-08,1995,3.91667,0.18333,0,0,0,0,0,0,0,20.08333,2.96667,0
131846593,South,1995-09-13,1995,1.65771,1.16039,0,0,0,0,0,0,0,56.03047,8.12276,0
131846593,South,1996-06-17,1996,7.96875,0.03125,0,0,0,0.0625,0,0,0,36.5625,0.90675,0
131846593,South,1996-07-15,1996,12.22278,0.049,0,0,0,0.056,0,0,0,25.48163,2.184,0
131846593,South,1996-08-19,1996,7.89315,0.09073,0,0,0,0,0,0,0,14.69758,1.78427,0
131846593,South,1997-07-14,1997,10.58393,0.19863,0,0,0.02838,0.02838,0,0,0,8.31392,0.908,0
131846593,South,1997-08-18,1997,2.69564,1.17047,0,0,0,0,0,0,0,16.56399,3.12127,0
131846593,South,1998-07-13,1998,1.42666,1.49093,0,0,0.05141,0,0,0,0,5.64239,0.44985,0
131846593,South,1998-08-17,1998,0.6,2.625,0,0,0,0.025,0,0,0,14.45,1.15,0
131846593,South,1999-06-29,1999,7.2899,0.2644,0,0,0,0,0,0,0,22.20963,4.11709,0
131846593,South,1999-08-23,1999,4.97778,0.62222,0,0,0,0,0,0,0,32.08889,7.11111,0
131846593,South,2000-07-18,2000,55.60459,1.16505,0,0,0,0,0,0,0,19.80583,4.343,0
131846593,South,2000-08-21,2000,3.36,2.18,0,0,0.24,0,0,1.5,0,13.7,4.41,0
131846593,South,2001-07-17,2001,10.62643,0.9,0,0,0.09,0.10286,0,0,0,5.6636,4.05643,0
131846593,South,2001-08-07,2001,2.845,2.94,0,0,0,0.38,0,0,0,6.155,4.06,0
131846593,South,2002-08-13,2002,6.91077,0.77595,0,0,0,0.0485,0,0,0,3.5645,1.3579,0.21823
131846593,South,2002-09-10,2002,3.37045,1.24494,0,0,0,0.12146,0,0,0,2.71255,2.12551,0.04049
131846593,South,2003-07-15,2003,16.17841,1.90024,0,0,0,0,0,0,0,2.45447,3.64212,0
131846593,South,2003-08-12,2003,4.78439,1.63676,0,0,0,0,0,0,0,4.40667,6.3582,0
131846593,South,2004-07-06,2004,14.22222,0.27778,0,0,0,0,0,0,0,23.94444,14.94444,0
131846593,South,2004-08-11,2004,1.33704,0.98519,0,0,0,0.07037,0,0,0,7.70556,7.63519,0
131846593,South,2005-07-19,2005,10.18889,0.29167,0,0,0,0,0,0,0,8.49722,1.14722,0
131846593,South,2005-08-16,2005,2.25185,1.52593,0,0,0,0,0,0,0,7.73333,1.79259,0
131846593,South,2006-07-18,2006,14.21389,0.21389,0,0,0,0,0,0,0,12.54167,1.3222,0.1361
131846593,South,2006-08-15,2006,1.30185,0.09383,0,0,0.01173,0,0,0,0,7.3537,1.30185,0.10556
